[WBWWBBWB|BBBWWWBB|BBWBBWBW|WWWBWBB |BBWBWBWW|WWBW WBW|WWBWBWWB|WBBBW WB,(7,6)],0.0
[W BBWBBB|WBWBWBWB|BBWBWBBB|BBWWBWWW| WBWBWWB|WWW WBWB|WBWBB BW|WWWBWBBW,(0,6)],0.99727994
[ BWB B  |W  WB   |     B  |W   B   | W B  WW|WB W B  |        |       W,(4,7)],0.6411076
[BWBWBW B|BWW WB B|W BBBWWB|WWBBWWB | W WBB W|BBBWWWBW|BWWWBBWW|WBB BWB ,(0,7)],0.99678004
[WWW BBW |WBBBWBBW| BWBWWWB|W WWWBBB|B BBBWBW| WWWBBBW|WBWWWBWB|B BBWWWB,(0,0)],0.9968151
[BWW     |        | W      |        |   B W  | B  B   |        |        ,(5,1)],0.024497502
[        |        |        |        |        |        |  W     |        ,(6,2)],0.0077317194
[WBBBWBB |WBBW WWW|BWB B BW|BBW BBBW|WWB WWBB|W BWBWWW| BWWB W |BBWBWWWB,(7,7)],0.99654007
[B  WWW W|B       |  BW  W |B BB  B |W     B |B  BWW  |B  B    |W WWWBBW,(4,6)],0.99567
[WWWBWB B|BBWBB W | WBWBW W|BB BBBWW|WWWB BWW|WBWBWWB |BWWWBBBW|BWBBBWWB,(0,7)],0.9968301
[W BWB WB|BWBB  B |WW    B |BW      | BWB   W|  WB B  |B  W  W | W   BWW,(1,0)],0.64693296
[WW W  B |  W     |    BWWW| W WB BW|BWBBW BB|BB    W | WW BBB |WB  WBWB,(4,4)],0.9360775
[BWBBWWBW|WWWBWBBB|BBBWBWWB|BWBWBW W|BWWBBWWB|WBBWWBBB|WWWBBWWW|BWWBWBWB,(3,1)],0.0
[BBWWBBWB|WBBWBBBW|B  BWWWB|W WW B B|W WWB  W|BBBWW  W|BWW B B |BWW WBW ,(4,2)],0.8896061
[WB BW  W|BBBWBBWW| WBWBWBW| WBBB WB|W W  BBB|BWWBWBWW|  BBW WB|BWBWWWBW,(3,2)],0.99652004
[        |   B  W |        |W       |        |        |        |        ,(1,6)],0.057804815
[BWWB WBB| W  WBW | W    W |B  W  W |BB  B   |BWBBB BW| W  WBWW| WBBBWBW,(3,0)],0.99633014
[WW  B W |WBWW  BW|WBBB WBB|B BWB WW|   W   W| BBW WBW|B  BW WB|WWBW BBB,(7,3)],0.996415
[WBBWWWBB| BWBWWWB|WB BWBBB|BWBWBWWW|WBBWWWBW|WBWBWBBB|BBWBWBBW|BWWWBWWB,(3,2)],0.0
[WBBWBWW |WBBBWW B|BWWWB BW|WWBBWWW |BB WBWBB|BBWWBWBW|B BBWBBW| BWWWBWW,(0,6)],0.99683
[ W   WWW|B W  B W|  B    B|W  B WWB|   B  BW| B  BB  |W BB W W|W  BW B ,(5,1)],0.97006494
[WBBWBBWB|WWB WWBB|BBBWB WB|WW WWWBW|WBBWBBW |BWWBWBBW|B BWWBWB| W BWW B,(1,6)],0.9960152
[WBW WBB |WW  W BB|W  W B W|B BWBBBW|BBBW W W|BBWB BWB|W  WW   |BBBWW W ,(7,1)],0.99642
[WBWWBBBW|WWB BWBB|WBBW BWW|BBBWBWWB|BWWWBBBW|WWBBWBWB|BW WWBWW| BWBBWBW,(4,6)],0.9973551
[B WW WW |W  B B  |   W  B |W   W   |  W    B|BBBW W  |  B  W W|BB    B ,(5,5)],0.08899347
[WWW BW  |  BB BB |W WB  WB| WW     |B   W BB|BWBWWW W| BW BWBW|BBWBBB W,(4,7)],0.99593
[WWW BWWW|WWW WBBB|WWBBB BB| BWBBBWW|BB BWBWW|BWBWWBWB|BWWBWW B| BBW BBW,(7,1)],0.99691
[        | W      |    B   |        |        |        |        |       W,(7,7)],0.11292126
[        |        |        |        |  B     |      W |        |        ,(4,2)],0.038484998
[        |B     B |        |        | W     W|  B     |        |      W ,(1,6)],0.08036
[ W BB   |   B   W|B       |WW   B  |    B   |     B  | W      | W W W  ,(1,7)],0.33135003
[WWBW BBB| BBW  BW|B  WBBBW|BB B WWW|WW WB  B|WWWBBWWB|B  BWW W|WWW  BBB,(0,5)],0.99654514
[W  WWB  | W BW W | B    B | W B  W |   W W W|WBB     |BB   B  |BBWWB B ,(6,1)],0.69611496
[BBBWW  B|BW W WWW|WW    BB|WBWBBW B| WWB BBB|  BB WBW|BWB BWWW|BWW WW B,(1,3)],0.99648
[WW BWWWB|B B  WBW|BWBBWWBB|WBW  BWW|BBB WBBW|BBWWW WW|BW BW BB|WWBB BWW,(5,3)],0.996685
[  B     |        |  B     |  W W   |W B     |B    W  | W   W  |   BWBB ,(7,3)],0.31530753
